"","ReleaseDate","Title","ProductionBudget","OpeningWeekend","DomesticBox Office","WorldwideBox Office","Trailer","MPAA_Rating","Production_Method","Genre","Running_Time","Keywords","Franchise","Production_Companies","Production_Countries","Source","Creative_Type","warner","Columbia","Universal_Pictures","Walt_Disney_Pictures","Marvel_Studios","Paramount_Pictures","Century_Fox","Relativity_Media","DreamWorks_Pictures","New_Line_Cinema","Dune_Entertainment","Canal_Plus","Regency_Enterprises","Lionsgate","BBC_Films","StudioCanal","Working_Title_Films","Blumhouse","BFI","France","Cine_Plus","Participant_Media","Village_Roadshow_Productions","Metro_Goldwyn_Mayer_Pictures","Year","month"
"2527","Aug 8, 1997","Conspiracy Theory",8e+07,19313566,76118990,142783718,0,"R","Live Action","Thriller/Suspense",NA,"Conspiracy Theory",0,"Silver Pictures","United States","Original Screenplay","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,"Aug"
"2528","May 9, 1997","Father's Day",8.5e+07,8776159,28681080,35681080,0,"PG-13","Live Action","Comedy",NA,"Road Trip",0,"Silver Pictures",NA,"Remake","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,"May"
"2529","Mar 15, 1996","Executive Decision",5.5e+07,12069780,56679192,122079192,0,"R","Live Action","Thriller/Suspense",NA,"Hostage",0,"Silver Pictures","United States","Original Screenplay","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"Mar"
"2530","Nov 3, 1995","Fair Game",5e+07,4946332,11497497,26097497,0,"R","Live Action","Action",NA,NA,0,"Silver Pictures",NA,"Based on Fiction Book/Short Story","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"Nov"
"2531","Oct 6, 1995","Assassins",5e+07,9378637,30306268,83306268,0,"R","Live Action","Action",132,"Hitmen",0,"Silver Pictures","United States","Original Screenplay","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"Oct"
"2532","Oct 8, 1993","Demolition Man",NA,14262432,58055768,159055768,0,"R","Live Action","Action",NA,"Art Predicting Life",0,"Silver Pictures","United States","Original Screenplay","Science Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,"Oct"
"2533","Jul 11, 1990","The Adventures of Ford Fair…",4.9e+07,6374391,20423389,20423389,0,"R","Live Action","Comedy",102,"Private Investigator",0,"Silver Pictures","United States","Original Screenplay",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,"Jul"
"2534","Jul 3, 1990","Die Hard 2",7e+07,21744661,117323878,239814025,0,"R","Live Action","Action",124,"Terrorism",1,"Silver Pictures","United States","Based on Fiction Book/Short Story","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,"Jul"
"2535","Jul 15, 1988","Die Hard",2.8e+07,NA,81350242,139109346,0,"R","Live Action","Action",NA,"Hostage, Terrorism",1,"Silver Pictures","United States","Based on Fiction Book/Short Story","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,"Jul"
"2536","Oct 4, 1985","Commando",1e+07,7700015,35073978,35073978,0,"R","Live Action","Action",90,"Rescue",0,"Silver Pictures",NA,"Original Screenplay","Contemporary Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,"Oct"
